t r.txtA r.txtB
12.7 -162.3334 306.1399
12.73333 -161.9744 308.3442
12.76667 -161.5196 310.5378
12.8 -160.9449 312.68309999999997
12.83333 -160.1515 314.6227
12.86667 -159.2527 316.6566
12.9 -158.2688 318.5724
12.93333 -157.1475 320.394
12.96667 -155.9749 322.0481
13.0 -154.7458 323.51869999999997
13.03333 -153.443 324.7496
13.06667 -152.3484 326.2328
13.1 -151.378 327.6503
13.13333 -150.5204 329.31719999999996
13.16667 -149.4001 -29.39749999999998
13.2 -148.2527 -28.00710000000001
13.23333 -146.8563 -26.750399999999985
13.26667 -145.3017 -25.472399999999993
13.3 -143.5523 -24.27430000000001
13.33333 -141.712 -23.02030000000002
13.36667 -139.7947 -21.692700000000002
13.4 -137.7852 -20.510500000000008
13.43333 -135.4982 -19.418599999999998
13.46667 -133.1692 -18.511500000000012
13.5 -130.8573 -17.35499999999999
13.53333 -128.5356 -16.373100000000022
13.56667 -126.377 -15.356700000000004
13.6 -124.5328 -14.046700000000001
13.63333 -122.8295 -12.71180000000001
13.66667 -121.0167 -11.711799999999997
13.7 -119.2314 -10.853600000000014
13.73333 -117.1324 -10.5308
13.76667 -114.6402 -10.700900000000004
13.8 -112.2092 -10.728400000000008
13.83333 -109.7508 -10.657899999999998
13.86667 -107.5184 -10.462400000000002
13.9 -105.3337 -10.221100000000007
13.93333 -103.0785 -10.025999999999996
13.96667 -100.8562 -10.025800000000004
14.0 -98.47341 -10.281890000000004
14.03333 -95.94541 -10.620490000000004
14.06667 -93.63797 -10.914030000000011
14.1 -91.58768 -11.044219999999996
14.13333 -89.59605 -11.117349999999988
14.16667 -87.98383 -10.817440000000005
14.2 -86.44952 -10.636309999999995
14.23333 -85.03015 -10.53125
14.26667 -83.68874 -10.641490000000005
14.3 -82.59596 -10.677700000000002
14.33333 -81.59293 -10.909580000000005
14.36667 -80.76655 -11.224240000000009
14.4 -80.30847 -11.297480000000007
14.43333 -79.9199 -11.494119999999995
14.46667 -79.72937 -11.615169999999992
14.5 -79.70986 -11.61551999999999
14.53333 -79.69876 -11.646100000000004
14.56667 -79.72294 -11.69229
14.6 -79.73208 -11.81559
14.63333 -79.74563 -11.84877999999999
14.66667 -79.83135 -11.848100000000002
14.7 -79.83617 -11.826040000000006
14.73333 -79.83863 -11.807330000000007
14.76667 -79.77902 -11.830550000000002
14.8 -79.74426 -11.844610000000003
14.83333 -79.70308 -11.83323
14.86667 -79.60308 -11.84608
