	masse_B
t	x	y	θr	θv	θa
3.833333E0	-3.964448E-1	1.393569E-1	1.606326E2	4.297646E1	-9.267102E1
3.866667E0	-3.840111E-1	1.500116E-1	1.586622E2	4.098377E1	-1.109845E2
3.900000E0	-3.724910E-1	1.601677E-1	1.567327E2	3.958516E1	-9.104640E1
3.933333E0	-3.607103E-1	1.692775E-1	1.548598E2	3.552057E1	-6.644642E1
3.966667E0	-3.484641E-1	1.773189E-1	1.530304E2	3.052440E1	-7.226666E1
4.000000E0	-3.354928E-1	1.841462E-1	1.512384E2	2.623304E1	-7.611043E1
4.033333E0	-3.228245E-1	1.899535E-1	1.495270E2	2.347042E1	-1.014767E2
4.066667E0	-3.096508E-1	1.953668E-1	1.477511E2	2.209623E1	-9.593624E1
4.100000E0	-2.973583E-1	2.002924E-1	1.460369E2	1.947856E1	-8.352954E1
4.133333E0	-2.844645E-1	2.042751E-1	1.443177E2	1.490932E1	-9.718225E1
4.166667E0	-2.712604E-1	2.072410E-1	1.426204E2	1.171827E1	-1.187795E2
4.200000E0	-2.595297E-1	2.094471E-1	1.410956E2	8.406676E0	-1.102196E2
4.233333E0	-2.475855E-1	2.107398E-1	1.395962E2	3.239059E0	-1.061208E2
4.266667E0	-2.357288E-1	2.107941E-1	1.381962E2	-7.940175E-2	-1.182576E2
4.300000E0	-2.247958E-1	2.107082E-1	1.368527E2	-2.863234E0	-1.038298E2
4.333333E0	-2.136691E-1	2.096908E-1	1.355384E2	-6.005931E0	-1.272231E2
4.366667E0	-2.023677E-1	2.083486E-1	1.341657E2	-7.779311E0	-1.524694E2
4.400000E0	-1.927334E-1	2.068306E-1	1.329794E2	-1.087918E1	-1.371721E2
4.433333E0	-1.831599E-1	2.046570E-1	1.318273E2	-1.472559E1	-1.174216E2
4.466667E0	-1.737666E-1	2.018457E-1	1.307248E2	-1.752275E1	-1.378374E2
4.500000E0	-1.649452E-1	1.989060E-1	1.296676E2	-1.976764E1	-1.654389E2
4.533333E0	-1.564017E-1	1.956050E-1	1.286451E2	-2.108989E1	1.778749E2
4.566667E0	-1.484802E-1	1.925560E-1	1.276359E2	-2.190934E1	1.695133E2
4.600000E0	-1.413859E-1	1.895659E-1	1.267171E2	-2.346251E1	-1.783718E2
4.633333E0	-1.350253E-1	1.867161E-1	1.258729E2	-2.593952E1	1.710885E2
4.666667E0	-1.289835E-1	1.835331E-1	1.250988E2	-2.721070E1	1.675166E2
4.700000E0	-1.240512E-1	1.810736E-1	1.244145E2	-2.997348E1	1.624886E2
4.733333E0	-1.204056E-1	1.785859E-1	1.239885E2	-3.406666E1	1.525022E2
4.766667E0	-1.174052E-1	1.765795E-1	1.236194E2	-3.062352E1	1.152810E2
4.800000E0	-1.146741E-1	1.751931E-1	1.232071E2	-2.459886E1	9.440592E1
4.833333E0	-1.116188E-1	1.739305E-1	1.226901E2	-2.422439E1	-7.574052E0
4.866667E0	-1.088347E-1	1.725658E-1	1.222390E2	-2.450654E1	-1.492005E2
4.900000E0	-1.055837E-1	1.711793E-1	1.216664E2	-2.603802E1	1.670776E2
4.933333E0	-1.030649E-1	1.697469E-1	1.212648E2	-2.926145E1	1.704065E2
4.966667E0	-1.011302E-1	1.686840E-1	1.209437E2	-3.484771E1	1.499802E2
5.000000E0	-9.982484E-2	1.674910E-1	1.207950E2	-3.290221E1	1.391648E2
5.033333E0	-9.868904E-2	1.671047E-1	1.205653E2	-1.774691E1	1.478884E2
5.066667E0	-9.821813E-2	1.669768E-1	1.204646E2	-1.711514E2	1.682349E2
5.100000E0	-9.885086E-2	1.670795E-1	1.206102E2	1.751979E2	-1.606048E2
5.133333E0	-9.966061E-2	1.670980E-1	1.208127E2	-1.615985E2	-4.445969E1
5.166667E0	-9.992779E-2	1.667212E-1	1.209372E2	-1.368729E2	-1.955009E1
5.200000E0	-1.002997E-1	1.664994E-1	1.210649E2	-1.448709E2	1.257788E2
5.233333E0	-1.005718E-1	1.662681E-1	1.211688E2	-1.788432E2	1.452368E2
5.266667E0	-1.013090E-1	1.664790E-1	1.213222E2	1.682225E2	1.668504E2
5.300000E0	-1.023026E-1	1.666290E-1	1.215480E2	1.733149E2	-1.709608E2
5.333333E0	-1.040287E-1	1.667978E-1	1.219510E2	1.782638E2	1.772370E2
5.366667E0	-1.060192E-1	1.667416E-1	1.224494E2	1.763506E2	1.693739E2
5.400000E0	-1.084530E-1	1.670799E-1	1.229879E2	1.735329E2	1.522450E2
5.433333E0	-1.117956E-1	1.673964E-1	1.237370E2	1.677075E2	1.547867E2
5.466667E0	-1.158997E-1	1.687026E-1	1.244893E2	1.639286E2	1.629159E2
5.500000E0	-1.213683E-1	1.701542E-1	1.254997E2	1.661920E2	1.625746E2
5.533333E0	-1.289420E-1	1.719080E-1	1.268723E2	1.639913E2	1.614578E2
5.566667E0	-1.371714E-1	1.746883E-1	1.281403E2	1.636640E2	1.787468E2
5.600000E0	-1.470419E-1	1.772131E-1	1.296841E2	1.680519E2	-1.645732E2
5.633333E0	-1.584783E-1	1.791970E-1	1.314889E2	1.712850E2	-1.593016E2
5.666667E0	-1.709107E-1	1.808719E-1	1.333780E2	1.735280E2	-1.528397E2
5.700000E0	-1.841113E-1	1.821049E-1	1.353139E2	1.766833E2	-1.440855E2
5.733333E0	-1.987228E-1	1.824837E-1	1.374393E2	-1.798639E2	-1.371906E2
5.766667E0	-2.139729E-1	1.820339E-1	1.396111E2	-1.765232E2	-1.283199E2
5.800000E0	-2.302123E-1	1.805705E-1	1.418906E2	-1.728109E2	-1.221218E2
5.833333E0	-2.471832E-1	1.778449E-1	1.442655E2	-1.691347E2	-1.092983E2
5.866667E0	-2.646161E-1	1.739670E-1	1.466778E2	-1.646660E2	-1.075878E2
5.900000E0	-2.823306E-1	1.682072E-1	1.492143E2	-1.601243E2	-9.573519E1
5.933333E0	-3.009307E-1	1.608387E-1	1.518768E2	-1.559640E2	-7.312527E1
5.966667E0	-3.184918E-1	1.520800E-1	1.544755E2	-1.506034E2	-7.606082E1
6.000000E0	-3.350825E-1	1.415978E-1	1.570922E2	-1.452421E2	-8.652592E1
6.033333E0	-3.525231E-1	1.284647E-1	1.599775E2	-1.402859E2	-7.711052E1
6.066667E0	-3.691880E-1	1.132687E-1	1.629437E2	-1.332819E2	-7.406134E1
6.100000E0	-3.841271E-1	9.490609E-2	1.661219E2	-1.284460E2	-7.037150E1
6.133333E0	-3.999186E-1	7.456027E-2	1.694391E2	-1.252111E2	-7.234606E1
6.166667E0	-4.135899E-1	5.315713E-2	1.726761E2	-1.189385E2	-7.079601E1
6.200000E0	-4.266753E-1	2.616748E-2	1.764905E2	-1.162109E2	-4.955693E1
6.233333E0	-4.397590E-1	0.000000E0	1.800000E2	-1.120679E2	-1.494389E1
6.266667E0	-4.484815E-1	-2.762123E-2	-1.764757E2	-1.088861E2	-1.998311E1
6.300000E0	-4.586578E-1	-5.524246E-2	-1.731322E2	-1.043814E2	-1.735402E1
6.333333E0	-4.630190E-1	-8.431743E-2	-1.696793E2	-9.418492E1	3.814075E0
6.366667E0	-4.630190E-1	-1.148462E-1	-1.660696E2	-9.146880E1	3.247119E1
6.400000E0	-4.644728E-1	-1.410136E-1	-1.631117E2	-8.682017E1	9.462322E0
6.433333E0	-4.601115E-1	-1.671811E-1	-1.600314E2	-7.956252E1	-1.998311E1
6.466667E0	-4.542965E-1	-1.962561E-1	-1.566357E2	-7.840782E1	3.200538E1
6.500000E0	-4.484815E-1	-2.238773E-1	-1.534721E2	-7.255281E1	5.752881E1
6.533333E0	-4.383053E-1	-2.471373E-1	-1.505836E2	-6.789055E1	2.974488E1
6.566667E0	-4.295828E-1	-2.703973E-1	-1.478120E2	-6.701128E1	-5.710593E0
6.600000E0	-4.179528E-1	-2.951110E-1	-1.447746E2	-6.006849E1	2.319859E1
6.633333E0	-4.019616E-1	-3.183710E-1	-1.416192E2	-5.849573E1	4.500000E1
6.666667E0	-3.903316E-1	-3.401772E-1	-1.389276E2	-5.849573E1	-3.814075E0
6.700000E0	-3.743403E-1	-3.634372E-1	-1.358467E2	-4.881407E1	-2.261986E1
6.733333E0	-3.496266E-1	-3.866972E-1	-1.321178E2	-4.663658E1	-3.096376E1
6.766667E0	-3.249129E-1	-4.157722E-1	-1.280065E2	-4.827049E1	1.843495E1
6.800000E0	-3.016529E-1	-4.404859E-1	-1.244041E2	-4.416968E1	5.500798E1
6.833333E0	-2.740317E-1	-4.651996E-1	-1.205007E2	-4.010091E1	3.369007E1
6.866667E0	-2.464104E-1	-4.870059E-1	-1.168380E2	-3.527242E1	4.091438E1
6.900000E0	-2.144280E-1	-5.073584E-1	-1.129107E2	-2.800918E1	1.183008E2
6.933333E0	-1.780842E-1	-5.233496E-1	-1.087923E2	-2.830076E1	1.300303E2
6.966667E0	-1.577318E-1	-5.378871E-1	-1.063434E2	-2.116126E1	1.298056E2
7.000000E0	-1.330180E-1	-5.407946E-1	-1.038186E2	-1.362699E1	1.165651E2
7.033333E0	-1.097580E-1	-5.495171E-1	-1.012954E2	-1.781889E1	1.768202E2
7.066667E0	-9.231305E-2	-5.538783E-1	-9.946232E1	-1.525512E1	1.509454E2
7.100000E0	-7.777556E-2	-5.582396E-1	-9.793156E1	-1.252881E1	1.431301E2
7.133333E0	-6.614557E-2	-5.596933E-1	-9.674006E1	-6.709837E0	1.581986E2
7.166667E0	-5.306183E-2	-5.611471E-1	-9.540180E1	-5.194429E0	1.647449E2
7.200000E0	-5.015434E-2	-5.611471E-1	-9.510742E1	0.000000E0	1.657292E2
7.233333E0	-4.143184E-2	-5.611471E-1	-9.422273E1	4.006666E0	1.769508E2
7.266667E0	-3.981759E-2	-5.604230E-1	-9.406399E1	2.183745E1	-1.778575E2
7.300000E0	-3.968689E-2	-5.604478E-1	-9.405051E1	-1.694739E2	-1.645904E2
7.333333E0	-3.988047E-2	-5.604347E-1	-9.407030E1	1.765014E2	1.557223E2
7.366667E0	-4.052402E-2	-5.603966E-1	-9.413604E1	1.600863E2	1.596429E2
7.400000E0	-4.133365E-2	-5.599083E-1	-9.422204E1	1.613071E2	-1.749295E2
7.433333E0	-4.251526E-2	-5.597229E-1	-9.434371E1	1.749611E2	-1.701066E2
7.466667E0	-4.427536E-2	-5.596489E-1	-9.452341E1	1.727272E2	1.316803E2
7.500000E0	-4.587843E-2	-5.592937E-1	-9.468943E1	1.701881E2	5.514559E1
7.533333E0	-4.723874E-2	-5.591364E-1	-9.482918E1	1.691245E2	8.303220E1
7.566667E0	-4.894050E-2	-5.587054E-1	-9.500612E1	1.556926E2	6.670658E1
7.600000E0	-5.028409E-2	-5.577609E-1	-9.515149E1	1.569399E2	-4.130957E1
7.633333E0	-5.168440E-2	-5.575373E-1	-9.529625E1	1.660997E2	-7.935983E1
7.666667E0	-5.295488E-2	-5.570999E-1	-9.542991E1	1.562650E2	3.103683E1
7.700000E0	-5.434351E-2	-5.563681E-1	-9.557870E1	1.589439E2	-3.941869E1
7.733333E0	-5.543873E-2	-5.561437E-1	-9.569268E1	1.641393E2	-1.016709E2
7.766667E0	-5.648097E-2	-5.557608E-1	-9.580294E1	1.685146E2	-1.544571E2
7.800000E0	-5.800239E-2	-5.556228E-1	-9.595962E1	1.749635E2	-6.825508E1
7.833333E0	-5.934450E-2	-5.555084E-1	-9.609773E1	-1.793633E2	-9.688124E0
7.866667E0	-6.026333E-2	-5.556479E-1	-9.618987E1	-1.737553E2	-7.797720E0
7.900000E0	-6.051276E-2	-5.556363E-1	-9.621542E1	-8.716263E1	-6.582787E0
7.933333E0	-6.025268E-2	-5.558627E-1	-9.618642E1	-3.759156E1	-1.745010E1
7.966667E0	-5.997446E-2	-5.560507E-1	-9.615600E1	-3.028846E1	-8.041913E0
8.000000E0	-5.955064E-2	-5.562728E-1	-9.611041E1	-2.698865E1	1.636245E1
8.033333E0	-5.903657E-2	-5.565283E-1	-9.605530E1	-9.499005E0	5.016368E1
8.066667E0	-5.814877E-2	-5.565073E-1	-9.596512E1	-3.658069E0	1.651301E2
8.100000E0	-5.770000E-2	-5.566138E-1	-9.591829E1	-1.300906E1	-1.792268E2
8.133333E0	-5.769509E-2	-5.566121E-1	-9.591780E1	-1.628319E2	1.669460E2
8.166667E0	-5.785721E-2	-5.566623E-1	-9.593378E1	1.759004E2	1.183631E2
8.200000E0	-5.797544E-2	-5.565920E-1	-9.594657E1	1.458065E2	2.656270E1
8.233333E0	-5.806089E-2	-5.565240E-1	-9.595599E1	1.455302E2	-6.409792E0
8.266667E0	-5.810267E-2	-5.565047E-1	-9.596045E1	2.427121E1	-6.160243E0
8.300000E0	-5.789481E-2	-5.564491E-1	-9.593987E1	1.181084E1	-1.513743E2
8.333333E0	-5.777065E-2	-5.564353E-1	-9.592737E1	-1.448966E2	-1.628264E2
8.366667E0	-5.798283E-2	-5.565109E-1	-9.594818E1	-1.583843E2	1.564642E2
8.400000E0	-5.806821E-2	-5.565532E-1	-9.595643E1	1.621975E2	1.389116E2
8.433333E0	-5.847105E-2	-5.563542E-1	-9.599958E1	1.575245E2	1.354836E2
8.466667E0	-5.893049E-2	-5.561964E-1	-9.604808E1	1.530919E2	-1.691903E2
8.500000E0	-5.925242E-2	-5.559576E-1	-9.608346E1	1.655500E2	-1.294408E2
8.533333E0	-6.015378E-2	-5.558812E-1	-9.617614E1	1.734926E2	-2.551557E1
8.566667E0	-6.046878E-2	-5.558189E-1	-9.620892E1	1.751641E2	-1.807385E1
8.600000E0	-6.049948E-2	-5.558520E-1	-9.621168E1	-8.740896E1	-4.087012E1
8.633333E0	-6.045686E-2	-5.560823E-1	-9.620478E1	-8.649496E1	7.911286E0
8.666667E0	-6.047769E-2	-5.562076E-1	-9.620552E1	-1.871840E1	3.666373E1
8.700000E0	-6.002120E-2	-5.562299E-1	-9.615880E1	-3.268660E0	5.785742E0
8.733333E0	-5.985634E-2	-5.562431E-1	-9.614186E1	-1.058526E1	-9.440881E1
8.766667E0	-5.942297E-2	-5.563417E-1	-9.609666E1	-1.220302E1	-7.581512E1
8.800000E0	-5.910719E-2	-5.564051E-1	-9.606382E1	-3.124423E1	2.748924E1
8.833333E0	-5.881395E-2	-5.567112E-1	-9.603066E1	-9.517127E0	8.402556E1
8.866667E0	-5.813724E-2	-5.565677E-1	-9.596330E1	1.535885E1	1.449592E2
8.900000E0	-5.797391E-2	-5.564805E-1	-9.594760E1	2.369596E1	-1.757413E2
8.933333E0	-5.786582E-2	-5.564486E-1	-9.593692E1	1.590771E2	-1.777735E2
8.966667E0	-5.828597E-2	-5.563612E-1	-9.598065E1	1.683435E2	1.540387E2
9.000000E0	-5.846386E-2	-5.563252E-1	-9.599916E1	1.539681E2	1.064813E1
9.033333E0	-5.867464E-2	-5.561713E-1	-9.602228E1	1.469703E2	1.511066E2
9.066667E0	-5.881927E-2	-5.560941E-1	-9.603785E1	1.557281E2	-1.598822E2
9.100000E0	-5.911817E-2	-5.559713E-1	-9.606963E1	1.797645E2	-1.573121E2
9.133333E0	-5.993247E-2	-5.560896E-1	-9.615130E1	-1.734955E2	-1.896904E1
9.166667E0	-6.034368E-2	-5.561110E-1	-9.619294E1	-1.721741E2	1.714294E1
9.200000E0	-6.047364E-2	-5.561640E-1	-9.620559E1	1.556626E2	1.626128E2
